"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"RUNX1","MYH9",0.351360203563126,1.70723039289361,844,2,26,38,0.585600339271877,"Co_Occurence","MYH9, RUNX1","2/64"
"TBX3","MAP3K1",0.36311115417006,1.67816040586093,796,5,79,30,0.601974725082991,"Co_Occurence","MAP3K1, TBX3","5/109"
"TBX3","KMT2C",0.365527676224639,1.65513720302299,795,5,80,30,0.602783107230606,"Co_Occurence","KMT2C, TBX3","5/110"
"PIK3R1","CSMD3",0.37501483409682,1.61388598141499,843,2,36,29,0.615181814463288,"Co_Occurence","CSMD3, PIK3R1","2/65"
"ARID1A","MAP3K1",0.377315862167687,1.56948071169555,794,5,79,32,0.615724318158758,"Co_Occurence","ARID1A, MAP3K1","5/111"
"CSMD3","KMT2C",0.39023187364855,1.49921652021446,792,5,80,33,0.63182019380023,"Co_Occurence","CSMD3, KMT2C","5/113"
"PIK3R1","RUNX1",0.39349134568384,0,839,0,40,31,0.63182019380023,"Mutually_Exclusive","PIK3R1, RUNX1","0/71"
"NCOR1","FOXA1",0.395786985103073,0,832,0,28,50,0.63182019380023,"Mutually_Exclusive","FOXA1, NCOR1","0/78"
"NF1","MAP3K1",0.39578808767941,1.47357844323621,792,5,79,34,0.63182019380023,"Co_Occurence","MAP3K1, NF1","5/113"
"AKT1","PTEN",0.397288537861585,0,830,0,53,27,0.63182019380023,"Mutually_Exclusive","AKT1, PTEN","0/80"
"GATA3","BIRC6",0.403107453227062,1.44441131341027,763,5,22,120,0.637828248776997,"Co_Occurence","BIRC6, GATA3","5/142"
"RUNX1","MAP2K4",0.409454538771947,0,831,0,39,40,0.639809178509656,"Mutually_Exclusive","MAP2K4, RUNX1","0/79"
"FAT1","GATA3",0.410501568931795,0.47497401602922,759,2,123,26,0.639809178509656,"Mutually_Exclusive","FAT1, GATA3","2/149"
"MYH9","GATA3",0.410501568931795,0.47497401602922,759,2,123,26,0.639809178509656,"Mutually_Exclusive","GATA3, MYH9","2/149"
"MAP3K1","CDH1",0.413862349508072,0.692715485397865,704,9,122,75,0.641846075539813,"Mutually_Exclusive","CDH1, MAP3K1","9/197"
"RUNX1","FAT3",0.41884186934626,1.77380958035909,832,3,38,37,0.646360909484969,"Co_Occurence","FAT3, RUNX1","3/75"
"BIRC6","PIK3CA",0.423411106876026,1.37969973729811,559,12,324,15,0.650201331197829,"Co_Occurence","BIRC6, PIK3CA","12/339"
"TBX3","NCOR1",0.434144078301979,1.65046905214764,828,3,47,32,0.6634231025397,"Co_Occurence","NCOR1, TBX3","3/79"
"TP53","NCOR1",0.455143946449637,0.77487360415047,535,16,34,325,0.692128872338256,"Mutually_Exclusive","NCOR1, TP53","16/359"
"PTEN","TP53",0.465919780533384,0.777045690669779,533,17,324,36,0.704590986046074,"Mutually_Exclusive","PTEN, TP53","17/360"
"MAP3K1","PTEN",0.467848414734593,0.575101916566365,776,3,50,81,0.704590986046074,"Mutually_Exclusive","MAP3K1, PTEN","3/131"
