"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"USH2A","FLG",0.0059203912204306,3.45031292191412,892,8,48,43,0.0206777258144004,"Co_Occurence","FLG, USH2A","8/91"
"MUC17","SYNE2",0.00592210067324427,4.34739852244962,914,6,34,37,0.0206777258144004,"Co_Occurence","MUC17, SYNE2","6/71"
"MUC17","SYNE1",0.00603496268267567,3.80430074968843,902,7,46,36,0.0208389595396259,"Co_Occurence","MUC17, SYNE1","7/82"
"FAT3","FLG",0.00627397230432071,3.77742103481353,901,7,49,34,0.0214275010393467,"Co_Occurence","FAT3, FLG","7/83"
"NCOR1","TTN",0.00665948288475954,2.42088128454377,788,16,153,34,0.0222740330695766,"Co_Occurence","NCOR1, TTN","16/187"
"RYR2","PTEN",0.00673566760023995,3.36359883695401,891,8,45,47,0.0222740330695766,"Co_Occurence","PTEN, RYR2","8/92"
"RYR2","SYNE1",0.00673566760023995,3.36359883695401,891,8,45,47,0.0222740330695766,"Co_Occurence","RYR2, SYNE1","8/92"
"PTEN","TTN",0.0072876803738899,2.43909550671645,786,17,152,36,0.0234415557437942,"Co_Occurence","PTEN, TTN","17/188"
"SYNE2","HMCN1",0.00730766777162021,3.65889759268653,899,7,52,33,0.0234415557437942,"Co_Occurence","HMCN1, SYNE2","7/85"
"NCOR1","GATA3",0.0073137653920638,2.59724310405814,829,13,112,37,0.0234415557437942,"Co_Occurence","GATA3, NCOR1","13/149"
"SPTA1","LRP2",0.00831087746557964,4.00921428775684,911,6,34,40,0.0263346947432222,"Co_Occurence","LRP2, SPTA1","6/74"
"RYR2","DMD",0.00846749865569295,3.53573753266257,899,7,37,48,0.0263346947432222,"Co_Occurence","DMD, RYR2","7/85"
"PIK3CA","KMT2C",0.00846923782942024,1.83071033289724,610,40,45,296,0.0263346947432222,"Co_Occurence","KMT2C, PIK3CA","40/341"
"MUC16","DMD",0.0085967035361135,2.83112396259972,858,10,34,89,0.0264676833008421,"Co_Occurence","DMD, MUC16","10/123"
"RYR2","FLG",0.00946401718636121,3.14326952314905,888,8,48,47,0.0288391764709324,"Co_Occurence","FLG, RYR2","8/95"
"MUC17","DMD",0.00955153524717281,3.87423922056387,910,6,38,37,0.0288391764709324,"Co_Occurence","DMD, MUC17","6/75"
"TP53","TTN",0.00985443931862721,1.57121055109248,554,73,96,268,0.0292213329071981,"Co_Occurence","TP53, TTN","73/364"
"TTN","NEB",0.00986512198947006,2.55815477577974,794,14,28,155,0.0292213329071981,"Co_Occurence","NEB, TTN","14/183"
"MUC17","TTN",0.0110890696848186,2.46697266931915,793,14,155,29,0.032381896174312,"Co_Occurence","MUC17, TTN","14/184"
"FAT3","TP53",0.0111393722839633,2.28833569751401,631,22,319,19,0.032381896174312,"Co_Occurence","FAT3, TP53","22/338"
"NF1","MUC16",0.0113868655708048,2.86886906520215,862,9,90,30,0.0327962718053134,"Co_Occurence","MUC16, NF1","9/120"
"MAP3K1","KMT2C",0.0123558383637759,2.35234682669922,836,14,71,70,0.0352620957870318,"Co_Occurence","KMT2C, MAP3K1","14/141"
"FAT3","NCOR1",0.014078709155448,3.52224509860609,906,6,44,35,0.0393640321556334,"Co_Occurence","FAT3, NCOR1","6/79"
"NF1","KMT2C",0.0141837039651935,2.92762678278942,875,8,77,31,0.0393640321556334,"Co_Occurence","KMT2C, NF1","8/108"
"NF1","TTN",0.0142919751083563,2.54817224294926,796,13,156,26,0.0393640321556334,"Co_Occurence","NF1, TTN","13/182"
"TP53","DMD",0.014297016478926,2.16458031373833,629,23,21,318,0.0393640321556334,"Co_Occurence","DMD, TP53","23/339"
"NF1","PTEN",0.0146090825455604,3.49357739636473,905,6,47,33,0.0394397538915532,"Co_Occurence","NF1, PTEN","6/80"
"NF1","SYNE1",0.0146090825455604,3.49357739636473,905,6,47,33,0.0394397538915532,"Co_Occurence","NF1, SYNE1","6/80"
"DMD","ZFHX4",0.014703140250771,3.48168744217726,906,6,41,38,0.0394397538915532,"Co_Occurence","DMD, ZFHX4","6/79"
"TTN","KMT2C",0.0151103177523289,1.92961217173528,760,23,62,146,0.040187015298747,"Co_Occurence","KMT2C, TTN","23/208"
"USH2A","PTEN",0.015509842439267,3.08640700285761,894,7,46,44,0.0405592113997569,"Co_Occurence","PTEN, USH2A","7/90"
"USH2A","SYNE1",0.015509842439267,3.08640700285761,894,7,46,44,0.0405592113997569,"Co_Occurence","SYNE1, USH2A","7/90"
"NEB","NCOR1",0.0157987442046435,3.42100046744276,905,6,44,36,0.0409718470037436,"Co_Occurence","NCOR1, NEB","6/80"
"PTEN","SYNE2",0.0164884634582606,3.38737537668713,904,6,34,47,0.0424085994296827,"Co_Occurence","PTEN, SYNE2","6/81"
